Claims extracted from patent HUPD dataset,GPT-4 generated claims,Rating by Expert 1,Rating by Expert 2,Rating by Expert 3,Expert's mean score
"1. A communication method between a first side and a second side operating with a clock provided by the first side, the communication method comprising: a phase calibration step; a step of transmitting, by the first side, a command packet to the second side; and a data transmission and reception step of transceiving data packets according to the command packet between the first side and the second side, wherein the phase calibration step is performed to calibrate phases of a transmit sampling clock of the first side and a receive sampling clock of the first side.","1. A communication method between a first side and a second side operating with a clock provided by the first side, the communication method comprising a phase calibration step a step of transmitting, by the first side, a command packet to the second side and a data transmission and reception step of transceiving data packets according to the command packet between the first side and the second side, wherein the phase calibration step is performed to calibrate phases of a transmit sampling clock of the first side and a receive sampling clock of the first side.",2,3,3,2.666666667
"1. Ophthalmological device for the treatment of keratoconus, comprising: one container (2, 6) made of non-conductive material open at the top and bottom one annular reservoir (8) with open bottom, closed at the top and externally concentric to said container (6), said annular reservoir (8) and said container (6) having a shared wall a first metallic conductor (22), housed in the container (2) connected to a terminal of a DC voltage generator (24), to the other terminal of which a second metallic conductor (26) is connected characterized by the fact that it further comprises: a first conduit (28) provided with closing means (30) one end of which flows into the annular reservoir (8), the other end being located externally to the latter, and a second conduit (32) provided with closing means (34) one end of which passes through said annular reservoir (8) at its lower edge and flows into the container (6), the other end being located externally to the said annular reservoir (8).","1. Ophthalmological device for the treatment of keratoconus, comprising: one container  made of non-conductive material open at the top and bottom one annular reservoir  with open bottom , closed at the top and externally concentric to said container , said annular reservoir  and said container  having a shared wall a first metallic conductor , housed in the container  connected to a terminal of a DC voltage generator , to the other terminal of which a second metallic conductor  is connected characterized by the fact that it further comprises: a first conduit  provided with closing means  one end of which flows into the annular reservoir , the other end being located externally to the latter, and a second conduit  provided with closing means  one end of which passes through said annular reservoir  at its lower edge and flows into the container , the other end being located externally to the said annular reservoir .",3,3,3,3.0
"1. A method for identifying a new use for a query drug, the method comprising steps of: querying a drug database for a query drug, wherein the drug database comprises chemical similarity data concerning a plurality of drugs including the query drug and a first drug; determining a degree of chemical similarity between the query drug and the first drug by evaluating the chemical similarity data for the query drug relative to the first drug; deeming the query drug and the first drug are sufficiently similar if the degree of chemical similarity is within a first predetermined threshold; wherein, if the query drug and the first drug are deemed sufficiently similar: identifying a first protein known to bind to the first drug by querying a protein database, wherein the protein database comprises chemical similarity data concerning the first protein; determining a degree of chemical similarity between the first protein and a plurality of second proteins in the protein database by evaluating the chemical similarity data concerning the first protein relative to each protein in the plurality of second proteins; selecting candidate proteins from the plurality of second proteins when the degree of chemical similarity is within a second predetermined threshold; performing a statistical significance test between the query drug and the candidate proteins, wherein a matching protein is determined if a drug-protein p-value is 0.05 or less; wherein, if a matching protein is determined: identifying a known biological use of each matching protein; identifying the known biological use as a use for the query drug.","1. A method for identifying a new use for a query drug, the method including steps of querying a drug database for a query drug, wherein the drug database comprises chemical similarity data concerning a plurality of drugs including the query drug and a first drug determining a degree of chemical similarity between the query drug and the first drug by evaluating the chemical similarity data for the query drug relative to the first drug deeming the query drug and the first drug are sufficiently similar if the degree of chemical similarity is within a first predetermined threshold wherein, if the query drug and the first drug are deemed sufficiently similar identifying a first protein known to bind to the first drug by querying a protein database, wherein the protein database comprises chemical similarity data concerning the first protein determining a degree of chemical similarity between the first protein and a plurality of second proteins in the protein database by evaluating the chemical similarity data concerning the first protein relative to each protein in the plurality of second proteins selecting candidate proteins from the plurality of second proteins when the degree of chemical similarity is within a second predetermined threshold performing a statistical significance test between the query drug and the candidate proteins, wherein a matching protein is determined if a drug-protein p-value is 0.05 or less wherein, if a matching protein is determined identifying a known biological use of each matching protein identifying the known biological use as a use for the query drug.",3,4,3,3.333333333
"1. An information processing apparatus comprising: a circuitry configured to: initiate a displaying of a content upon a display; and initiate an insertion of an acquired image into a region of the displayed content, the acquired image being selected on a basis of at least one image of a plurality of successive images that has been acquired and displayed.","1. An information processing apparatus comprising a circuitry configured to initiate a displaying of a content upon a display and initiate an insertion of an acquired image into a region of the displayed content, the acquired image being selected on a basis of at least one image of a plurality of successive images that has been acquired and displayed. Additional random text unrelated to core claim.",4,4,4,4.0
"1. A tetrazolinone compound represented by formula (1): wherein Q represents a 6-membered aromatic heterocyclic group optionally having one or more atoms or groups selected from Group P1, provided that a heteroatom constituting the heterocyclic group is a nitrogen atom, and the number of nitrogen atom is 1, 2, or 3; R1, R2, R3, and R11 each independently represents a C1-C6 alkyl group optionally having one or more atoms or groups selected from Group P2, a C3-C6 cycloalkyl group optionally having one or more atoms or groups selected from Group P2, a halogen atom, a hydrogen atom, a C1-C6 alkoxy group optionally having one or more halogen atoms, a cyano group, a nitro group, an amino group, a hydroxy group, a sulfanyl group, a C2-C6 alkenyl group optionally having one or more halogen atoms, a C2-C6 alkynyl group optionally having one or more halogen atoms, an amino group optionally having one or two C1-C8 alkyl groups (optionally having a halogen atom), a C1-C6 alkylthio group optionally having one or more halogen atoms, a C1-C6 alkylsulfinyl group optionally having one or more halogen atoms, a C1-C6 alkylsulfonyl group optionally having one or more halogen atoms, a pentafluorosulfanyl group, a C3-C9 trialkylsilyl group, a C2-C6 alkylcarbonyl group, a C2-C6 alkoxycarbonyl group, or an aminocarbonyl group optionally having one or more C2-C8 alkyl; R4 and R5 each independently represents a hydrogen atom, a halogen atom, or a C1-C3 alkyl group; R6 represents a C1-C6 alkyl group optionally having one or more halogen atoms, a C3-C6 cycloalkyl group optionally having one or more halogen atoms, a halogen atom, a hydrogen atom, a C2-C6 alkenyl group optionally having one or more halogen atoms, a C1-C6 alkoxy group optionally having one or more halogen atoms, a C1-C6 alkylthio group optionally having one or more halogen atoms, a C2-C6 alkynyl group optionally having one or more halogen atoms, a nitro group, a cyano group, an aminocarbonyl group optionally having one or two C1-C6 alkyl groups, a C3-C6 cycloalkoxy group optionally having one or more halogen atoms, a C3-C6 cycloalkylthio group optionally having one or more halogen atoms, a C3-C6 alkenyloxy group optionally having one or more halogen atoms, a C3-C6 alkynyloxy group optionally having one or more halogen atoms, a C3-C6 alkenylthio group optionally having one or more halogen atoms, a C3-C6 alkynylthio group optionally having one or more halogen atoms, a C2-C6 alkylcarbonyl group optionally having one or more halogen atoms, a C2-C6 alkylcarbonyloxy group, a C2-C6 alkylcarbonylthio group, a C2-C6 alkoxycarbonyl group, a hydroxy group, a sulfanyl group, an amino group optionally having one or two C1-C6 alkyl groups, a pentafluorosulfanyl group, a C3-C9 trialkylsilyl group, a C5-C14 trialkylsilylethynyl group, a C1-C4 alkylsulfonyl group optionally having one or more halogen atoms, a C1-C4 alkylsulfinyl group optionally having one or more halogen atoms, a C2-C5 alkoxyalkyl group, or a C2-C5 alkylthioalkyl group; R7, R8, and R9 each independently represents a hydrogen atom, a halogen atom, a C1-C3 alkyl group optionally having one or more halogen atoms, a C2-C3 alkenyl group optionally having one or more halogen atoms, or a C1-C3 alkoxy group optionally having one or more halogen atoms; R10 represents a C1-C3 alkyl group optionally having one or more halogen atoms, a C2-C3 alkenyl group optionally having one or more halogen atoms, a C2-C3 alkynyl group optionally having one or more halogen atoms, or a C3-C5 cycloalkyl group optionally having one or more halogen atoms; X represents an oxygen atom or a sulfur atom; Group P1 is selected from a group consisting of a C1-C6 alkyl group optionally having one or more halogen atoms, a halogen atom, a C2-C6 alkenyl group optionally having one or more halogen atoms, a C2-C6 alkynyl group optionally having one or more halogen atoms, a C3-C6 cycloalkyl group optionally having one or more halogen atoms, a C1-C6 alkoxy group optionally having one or more halogen atoms, a C1-C6 alkylthio group optionally having one or more halogen atoms, a C3-C6 cycloalkyloxy group optionally having one or more halogen atoms, a C3-C6 cycloalkylthio group optionally having one or more halogen atoms, a C3-C6 alkenyloxy group optionally having one or more halogen atoms, a C3-C6 alkynyloxy group optionally having one or more halogen atoms, a C3-C6 alkenylthio group optionally having one or more halogen atoms, a C3-C6 alkynylthio group optionally having one or more halogen atoms, a C2-C6 alkylcarbonyl group optionally having one or more halogen atoms, a C2-C6 alkylcarbonyloxy group, a C2-C6 alkylcarbonylthio group, a hydroxycarbonyl group, a formyl group, a C2-C6 alkoxycarbonyl group, a nitro group, a cyano group, a hydroxy group, a C6-C16 aryl group optionally having one or more halogen atoms, a C6-C16 aryloxy group optionally having one or more halogen atoms, a C6-C16 arylthio group optionally having one or more halogen atoms, a C7-C18 aralkyl group optionally having one or more halogen atoms, a C7-C18 arylalkoxy group optionally having one or more halogen atoms, a sulfanyl group, a pentafluorosulfanyl group, a C3-C12 trialkylsilyl group, a C5-C14 trialkylsilylethynyl group, a C1-C6 alkylsulfonyl group optionally having one or more halogen atoms, a C6-C16 arylsulfonyl group optionally having one or more halogen atoms, a C1-C6 alkylsulfinyl group optionally having one or more halogen atoms, a C6-C16 arylsulfinyl group optionally having one or more halogen atoms, an aminosulfonyl group optionally having a C1-C6 alkyl group and/or a C6-C12 aryl group, an amino group, an amino group optionally having one or two C1-C8 alkyl groups (optionally having a halogen atom), and an aminocarbonyl group optionally having one or two C1-C6 alkyl groups; and Group P2 is selected from a group consisting of a halogen atom, a cyano group, a C3-C6 cycloalkyl group optionally having one or more halogen atoms, a C1-C4 alkoxy group optionally having one or more halogen atoms, and a C1-C4 alkylthio group optionally having one or more halogen atoms.","1. A tetrazolinone compound represented by formula : wherein Q represents a 6-membered aromatic heterocyclic group optionally having one or more atoms or groups selected from Group P1, provided that a heteroatom constituting the heterocyclic group is a nitrogen atom, and the number of nitrogen atom is 1 , 2, or 3; R1, R2, R3, and R11 each independently represents a C1-C6 alkyl group optionally having one or more atoms or groups selected from Group P2, a C3-C6 cycloalkyl group optionally having one or more atoms or groups selected from Group P2, a halogen atom, a hydrogen atom, a C1-C6 alkoxy group optionally having one or more halogen atoms, a cyano group, a nitro group, an amino group, a hydroxy group, a sulfanyl group, a C2-C6 alkenyl group optionally having one or more halogen atoms, a C2-C6 alkynyl group optionally having one or more halogen atoms, an amino group optionally having one or two C1-C8 alkyl groups , a C1-C6 alkylthio group optionally having one or more halogen atoms, a C1-C6 alkylsulfinyl group optionally having one or more halogen atoms, a C1-C6 alkylsulfonyl group optionally having one or more halogen atoms, a pentafluorosulfanyl group, a C3-C9 trialkylsilyl group, a C2-C6 alkylcarbonyl group, a C2-C6 alkoxycarbonyl group, or an aminocarbonyl group optionally having one or more C2-C8 alkyl; R4 and R5 each independently represents a hydrogen atom, a halogen atom, or a C1-C3 alkyl group; R6 represents a C1-C6 alkyl group optionally having one or more halogen atoms, a C3-C6 cycloalkyl group optionally having one or more halogen atoms, a halogen atom, a hydrogen atom, a C2-C6 alkenyl group optionally having one or more halogen atoms, a C1-C6 alkoxy group optionally having one or more halogen atoms, a C1-C6 alkylthio group optionally having one or more halogen atoms, a C2-C6 alkynyl group optionally having one or more halogen atoms, a nitro group, a cyano group, an aminocarbonyl group optionally having one or two C1-C6 alkyl groups, a C3-C6 cycloalkoxy group optionally having one or more halogen atoms, a C3-C6 cycloalkylthio group optionally having one or more halogen atoms, a C3-C6 alkenyloxy group optionally having one or more halogen atoms, a C3-C6 alkynyloxy group optionally having one or more halogen atoms, a C3-C6 alkenylthio group optionally having one or more halogen atoms, a C3-C6 alkynylthio group optionally having one or more halogen atoms, a C2-C6 alkylcarbonyl group optionally having one or more halogen atoms, a C2-C6 alkylcarbonyloxy group, a C2-C6 alkylcarbonylthio group, a C2-C6 alkoxycarbonyl group, a hydroxy group, a sulfanyl group, an amino group optionally having one or two C1-C6 alkyl groups, a pentafluorosulfanyl group, a C3-C9 trialkylsilyl group, a C5-C14 trialkylsilylethynyl group, a C1-C4 alkylsulfonyl group optionally having one or more halogen atoms, a C1-C4 alkylsulfinyl group optionally having one or more halogen atoms, a C2-C5 alkoxyalkyl group, or a C2-C5 alkylthioalkyl group; R7, R8, and R9 each independently represents a hydrogen atom, a halogen atom, a C1-C3 alkyl group optionally having one or more halogen atoms, a C2-C3 alkenyl group optionally having one or more halogen atoms, or a C1-C3 alkoxy group optionally having one or more halogen atoms; R10 represents a C1-C3 alkyl group optionally having one or more halogen atoms, a C2-C3 alkenyl group optionally having one or more halogen atoms, a C2-C3 alkynyl group optionally having one or more halogen atoms, or a C3-C5 cycloalkyl group optionally having one or more halogen atoms; X represents an oxygen atom or a sulfur atom; Group P1 is selected from a group consisting of a C1-C6 alkyl group optionally having one or more halogen atoms, a halogen atom, a C2-C6 alkenyl group optionally having one or more halogen atoms, a C2-C6 alkynyl group optionally having one or more halogen atoms, a C3-C6 cycloalkyl group optionally having one or more halogen atoms, a C1-C6 alkoxy group optionally having one or more halogen atoms, a C1-C6 alkylthio group optionally having one or more halogen atoms, a C3-C6 cycloalkyloxy group optionally having one or more halogen atoms, a C3-C6 cycloalkylthio group optionally having one or more halogen atoms, a C3-C6 alkenyloxy group optionally having one or more halogen atoms, a C3-C6 alkynyloxy group optionally having one or more halogen atoms, a C3-C6 alkenylthio group optionally having one or more halogen atoms, a C3-C6 alkynylthio group optionally having one or more halogen atoms, a C2-C6 alkylcarbonyl group optionally having one or more halogen atoms, a C2-C6 alkylcarbonyloxy group, a C2-C6 alkylcarbonylthio group, a hydroxycarbonyl group, a formyl group, a C2-C6 alkoxycarbonyl group, a nitro group, a cyano group, a hydroxy group, a C6-C16 aryl group optionally having one or more halogen atoms, a C6-C16 aryloxy group optionally having one or more halogen atoms, a C6-C16 arylthio group optionally having one or more halogen atoms, a C7-C18 aralkyl group optionally having one or more halogen atoms, a C7-C18 arylalkoxy group optionally having one or more halogen atoms, a sulfanyl group, a pentafluorosulfanyl group, a C3-C12 trialkylsilyl group, a C5-C14 trialkylsilylethynyl group, a C1-C6 alkylsulfonyl group optionally having one or more halogen atoms, a C6-C16 arylsulfonyl group optionally having one or more halogen atoms, a C1-C6 alkylsulfinyl group optionally having one or more halogen atoms, a C6-C16 arylsulfinyl group optionally having one or more halogen atoms, an aminosulfonyl group optionally having a C1-C6 alkyl group and/or a C6-C12 aryl group, an amino group, an amino group optionally having one or two C1-C8 alkyl groups , and an aminocarbonyl group optionally having one or two C1-C6 alkyl groups; and Group P2 is selected from a group consisting of a halogen atom, a cyano group, a C3-C6 cycloalkyl group optionally having one or more halogen atoms, a C1-C4 alkoxy group optionally having one or more halogen atoms, and a C1-C4 alkylthio group optionally having one or more halogen atoms.",4,3,3,3.333333333
"1. A method for theme management, comprising: receiving from a client, at a theme management server, characteristic value information of one or more comparative items of a pre-selected reference desktop theme; calculating to obtain, at the theme management server, similarity degrees between a plurality of desktop themes and the pre-selected reference desktop theme by using a plurality of similarity-degree-calculation-dimensions, wherein the similarity degrees are calculated based on the characteristic value information of the one or more comparative items of the desktop theme; ranking, at the theme management server, the similarity degrees of the plurality of desktop themes; selecting, at the theme management server, a pre-determined number of desktop themes whose similarity degrees are of top ranks and/or bottom ranks, and then sending the selected desktop themes to the client.","1. A method for theme management, with receiving from a client, at a theme management server, characteristic value information of one or more comparative items of a pre-selected reference desktop theme calculating to obtain, at the theme management server, similarity degrees between a plurality of desktop themes and the pre-selected reference desktop theme by using a plurality of similarity-degree-calculation-dimensions, wherein the similarity degrees are calculated based on the characteristic value information of the one or more comparative items of the desktop theme ranking, at the theme management server, the similarity degrees of the plurality of desktop themes selecting, at the theme management server, a pre-determined number of desktop themes whose similarity degrees are of top ranks and/or bottom ranks, and then sending the selected desktop themes to the client.",2,3,3,2.666666667
"1. A programmable Gamma voltage output device, comprising: a non-volatile memory (NVM), a controller, a digital signal generation module, a digital to analog converter (DAC), and output verification module, the NVM connects with the controller, the controller connects with the digital signal generation module, the digital signal generation module connects with the DAC, the DAC connects with the output verification module, and the output verification module connects with the controller, wherein: the NVM is configured for duplicating a copy of a corresponding voltage data code when programming the voltage data code; the controller is configured for sending control signals to the digital signal generation module in accordance with the voltage data code, or is configured for sending the control signals to the digital signal generation module in accordance with the copy of the code when the output verification module sends an error feedback; the digital signal generation module is configured for outputting digital signals to the DAC in accordance with the control signals; the DAC is configured for converting the digital signals to a Gamma voltage; and the output verification module is configured for verifying whether the Gamma voltage is within a predetermined voltage range, and for sending the error feedback when the Gamma voltage is not within a predetermined voltage range.","1. A programmable Gamma voltage output device, comprising a non-volatile data storage (NVM), a controller, a digital signal generation module, a digital to analog converter (DAC), and output verification module, the NVM connects with the controller, the controller connects with the digital signal generation module, the digital signal generation module connects with the DAC, the DAC connects with the output verification module, and the output verification module connects with the controller, wherein the NVM is configured for duplicating a copy of a corresponding voltage data code when programming the voltage data code the controller is configured for sending control signals to the digital signal generation module in accordance with the voltage data code, or is configured for sending the control signals to the digital signal generation module in accordance with the copy of the code when the output verification module sends an error feedback the digital signal generation module is configured for outputting digital signals to the DAC in accordance with the control signals the DAC is configured for converting the digital signals to a Gamma voltage and the output verification module is configured for verifying whether the Gamma voltage is within a predetermined voltage range, and for sending the error feedback when the Gamma voltage is not within a predetermined voltage range.",4,4,4,4.0
"1. A method for monitoring movement of disease across agricultural areas of interest comprising: providing, using one or more processors and one or more data storage devices, a virtual zone generator and disease movement monitor; defining, using the virtual zone generator, a plurality a virtual zones, each virtual zone corresponding to an agricultural geographic area of interest and identifying a location for the agricultural geographic area of interest; receiving a plurality of raw data sets from a plurality of tracking devices, each tracking device corresponding to a vector or fomite that has the potential to carry a disease detrimental to agriculture, each raw data set corresponding to a tracking device and comprising an identification code identifying the tracking device, a timestamp corresponding to the time the raw data was generated by the tracking device, and location information for the tracking device; and generating disease movement data, using the disease movement monitor, by correlating the raw data sets to the virtual zones to detect movement of the tracking devices within, between and across the virtual zones.","1. A method for monitoring movement of disease across agricultural areas of interest comprising providing, using one or more processors and one or more data storage devices, a virtual zone generator and disease movement monitor defining, using the virtual zone generator, a plurality a virtual zones, each virtual zone corresponding to an agricultural geographic area of interest and identifying a location for the agricultural geographic area of interest receiving a plurality of raw data sets from a plurality of tracking devices, each tracking device corresponding to a vector or fomite that has the potential to carry a disease detrimental to agriculture, each raw data set corresponding to a tracking device and comprising an identification code identifying the tracking device, a timestamp corresponding to the time the raw data was generated by the tracking device, and location information for the tracking device and generating disease movement data, using the disease movement monitor, by correlating the raw data sets to the virtual zones to detect movement of the tracking devices within, between and across the virtual zones.",3,3,3,3.0
1. A method for monitoring a website for defacement comprising the steps of: obtaining a baseline image of the website; partitioning the baseline image into a plurality of baseline image regions according to a plurality of partitions in a partitioning algorithm; allowing the partitions to be selected; obtaining the selected partitions; storing the baseline image regions which correspond to the selected partitions in a database; obtaining an image instance of the website at a polled interval; partitioning the image instance into a plurality of image instance regions according to the plurality of partitions in the partitioning algorithm; extracting the image instance regions which correspond to the selected partitions; performing image comparison on the stored baseline image regions and the extracted image instance regions; and sending an alert that the website has been defaced when a result of the image comparison exceeds a first threshold.,1. A method for monitoring a website for defacement comprising the steps of obtaining a baseline image of the website partitioning the baseline image into a plurality of baseline image regions according to a plurality of partitions in a partitioning algorithm allowing the partitions to be selected obtaining the selected partitions storing the baseline image regions which correspond to the selected partitions in a database obtaining an image instance of the website at a polled interval partitioning the image instance into a plurality of image instance regions according to the plurality of partitions in the partitioning algorithm extracting the image instance regions which correspond to the selected partitions performing image comparison on the stored baseline image regions and the extracted image instance regions and sending an alert that the website has been defaced when a result of the image comparison exceeds a first threshold.,3,3,3,3.0
"1. An in-cell touch panel, comprising: an array substrate provided with a plurality of sub-pixels, a plurality of gate lines and a plurality of data lines that are disposed on the array substrate, intersected with each other and insulated from each other, a plurality of self capacitive electrodes which are disposed in a same layer and independent of each other, and a plurality of touch lines connecting the self capacitive electrodes to a touch detection chip, wherein the plurality of gate lines and the plurality of data lines are intersected with each other to define the plurality of sub-pixels; each of the sub-pixels is configured with a long side and a short side; and the touch lines are disposed along the direction of short sides of the sub-pixels.","1. An in-cell touch panel, with an array substrate provided with a plurality of sub-pixels, a plurality of gate lines and a plurality of data lines that are disposed on the array substrate, intersected with each other and insulated from each other, a plurality of self capacitive electrodes which are disposed in a same layer and independent of each other, and a plurality of touch lines connecting the self capacitive electrodes to a touch detection chip, wherein the plurality of gate lines and the plurality of data lines are intersected with each other to define the plurality of sub-pixels each of the sub-pixels is configured with a long side and a short side and the touch lines are disposed along the direction of short sides of the sub-pixels.",3,3,3,3.0
"1. Data input device comprising: at least one input unit and a sensing unit that has at least one sensing means that detects selections for a predetermined position of the input unit and generates an input signal, and provided to perform an input of data assigned to input values set in the input signal, wherein: the input unit comprises at least one selection segment that runs inputs in response to selection by a finger; the selection segment is provided to a size having a predetermined width and length within a range in contact with the fingerprint region on the distal end of one thumb; two indication positions are comprised in the selection segment, wherein the indication positions consist of one indication position in the one side and the other indication position in the other side of the selection segment that are positioned as to be spaced from each other in a predetermined distance on one axis of one direction within the selection segment; when a reference position located between the one side and the other side in the selection segment is selected by a single selecting action using one finger, one indication position in the one side and the other indication position in the other side corresponding to selection positions in the one side and the other side are selected together in response to the selecting action, two different input signals generated in the selection position of the sensing unit that has sensed the selection are set to be run as one basic input; when any one of the one side and the other side in the selection segment is selected by a single selecting action using one finger, one indication position in the one side corresponding to selection position in the one side or the other indication position in the other side corresponding to selection position in the one side and the other side is individually selected to response to the selecting action, one input signal generated in the selection position of the sensing unit that has sensed the selection is set to be run as one side input; and one input value is set in the side input and a new one input value different from the input value of the side input is set in the basic input.","1. Data input device comprising at least one input unit and a sensing unit that has at least one sensing means that detects selections for a predetermined position of the input unit and generates an input signal, and provided to perform an input of data assigned to input values set in the input signal, wherein the input unit comprises at least one selection segment that runs inputs in response to selection by a finger the selection segment is provided to a size having a predetermined width and length within a range in contact with the fingerprint region on the distal end of one thumb two indication positions are comprised in the selection segment, wherein the indication positions consist of one indication position in the one side and the other indication position in the other side of the selection segment that are positioned as to be spaced from each other in a predetermined distance on one axis of one direction within the selection segment when a reference position located between the one side and the other side in the selection segment is selected by a single selecting action using one finger, one indication position in the one side and the other indication position in the other side corresponding to selection positions in the one side and the other side are selected together in response to the selecting action, two different input signals generated in the selection position of the sensing unit that has sensed the selection are set to be run as one basic input when any one of the one side and the other side in the selection segment is selected by a single selecting action using one finger, one indication position in the one side corresponding to selection position in the one side or the other indication position in the other side corresponding to selection position in the one side and the other side is individually selected to response to the selecting action, one input signal generated in the selection position of the sensing unit that has sensed the selection is set to be run as one side input and one input value is set in the side input and a new one input value different from the input value of the side input is set in the basic input.",3,3,3,3.0
"1. An automatic or semi-automatic preparation system for forming a medicament solution from a vial containing one of a liquid and a non-liquid material, the preparation system comprising: a carousel configured to provide three axes of motion, the carousel including a manipulator having: at least one first rail defining a first axis; at least one second rail defining a second axis, the second axis being oriented orthogonal to the first axis; at least one third rail defining a third axis, the third axis being oriented orthogonal to the each of the first axis and the second axis; a first gear belt movably supported on at least one of the first rails, the second rails or the third rails, wherein the first gear belt, the first gear belt is movably supported on a series of sprockets; a second gear belt movably supported on at least one of the first rails, the second rails or the third rails, wherein the second gear belt, the first gear belt is movably supported on a series of sprockets; the first gear belt and the second gear belt being spaced apart from one another and being arranged in parallel with one another; at least one component holder supported on at least one of the first gearbelt and the second gear belt, each component holder being configured to selectively hold a syringe, a vial, a syringe adapter or a vial adapter; and at least one of a rotation station, a transfer station, and a weigh station disposed about the carousel; wherein the rotation station is configured for inverting and reverting a syringe and vial assembly; wherein the transfer station is configured for transferring material from a vial to a syringe; and wherein the weigh station is configured for weighing at least one of the syringe, the vial, and the syringe and vial assembly.","1. An automatic or semi-automatic preparation system for forming a medicament solution from a vial containing one of a liquid and a non-liquid material, the preparation system comprising: a carousel configured to provide three axes of motion, the carousel including a manipulator having: at least one first rail defining a first axis; at least one second rail defining a second axis , the second axis being oriented orthogonal to the first axis; at least one third rail defining a third axis, the third axis being oriented orthogonal to the each of the first axis and the second axis; a first gear belt movably supported on at least one of the first rails, the second rails or the third rails, wherein the first gear belt, the first gear belt is movably supported on a series of sprockets; a second gear belt movably supported on at least one of the first rails, the second rails or the third rails, wherein the second gear belt, the first gear belt is movably supported on a series of sprockets; the first gear belt and the second gear belt being spaced apart from one another and being arranged in parallel with one another; at least one component holder supported on at least one of the first gearbelt and the second gear belt, each component holder being configured to selectively hold a syringe, a vial, a syringe adapter or a vial adapter; and at least one of a rotation station, a transfer station, and a weigh station disposed about the carousel; wherein the rotation station is configured for inverting and reverting a syringe and vial assembly; wherein the transfer station is configured for transferring material from a vial to a syringe; and wherein the weigh station is configured for weighing at least one of the syringe, the vial, and the syringe and vial assembly.",3,3,3,3.0
"1. A method for receiving and presenting information to a user in a computer network or a computer device, comprising: the step of receiving at least one text from the computer network or the computer device, said text being tagged with a text information intensity indicator; the step of determining a user channel capacity indicator; the step of comparing said channel capacity indicator with said text information intensity indicator; and the step of presenting said text or a representation of said text to said user on said device or on a device in said computer network, wherein said presentation of said text or said representation of said text is modified by using the result of said comparison.","1. A method for receiving and presenting information to a user in a computer network or a computer device, comprising the step of receiving at least one text from the computer network or the computer device, said text being tagged with a text information intensity indicator the step of determining a user channel capacity indicator the step of comparing said channel capacity indicator with said text information intensity indicator and the step of presenting said text or a representation of said text to said user on said device or on a device in said computer network, wherein said presentation of said text or said representation of said text is modified by using the result of said comparison.",2,3,3,2.666666667
"1. A portable dispensing device for administering fluids intended for animals comprising: a backpack with a main compartment delimited by a back wall configured to be in contact with the back of a user, an outer wall laid out oppositely to the back wall and a side wall connecting the back and outer walls; and a flexible pouch containing a fluid to be administered, the flexible pouch placed in said main compartment, wherein at least the portion of the outer wall of the backpack facing said pouch is made from a rigid material in order to form a shockproof protection and said pouch is removably attached to the back wall with at least one attachment means.","1. A portable dispensing device for administering fluids intended for animals comprising: a backpack with a main compartment delimited by a back wall configured to be in contact with the back of a user, an outer wall laid out oppositely to the back wall and a side wall connecting the back and outer walls; and a flexible pouch containing a fluid to be administered , the flexible pouch placed in said main compartment , wherein at least the portion of the outer wall of the backpack facing said pouch is made from a rigid material in order to form a shockproof protection and said pouch is removably attached to the back wall with at least one attachment means.",3,2,3,2.666666667
"1. A method of controlling remote storage of consumer data, the method comprising: processing consumer data for deduplication at a client computer system; creating metadata comprising information relating to a consumer directory tree structure of the consumer data; and transferring the deduplicated data and metadata for remote storage.","1. A method of controlling remote storage of consumer data, the method with processing consumer data for deduplication at a client computer system creating metadata comprising information relating to a consumer directory tree structure of the consumer data and transferring the deduplicated data and metadata for remote storage.",3,3,3,3.0
"1. A method comprising: receiving, by a computer, first content submitted by a first subscriber having a first on-line profile associated with an open, on-line user network site, wherein the first content relates to a second subscriber having a second on-line profile associated with the open, on-line user network site; transmitting, by the computer, the first content to the second subscriber; receiving, by the computer, a publication instruction from the second subscriber relating to a decision whether to publish the first content via the second on-line profile; and calculating, by the computer, a score for the second on-line profile based at least in part on the publication instruction received from the second subscriber.","1. A method comprising receiving, by a computer, first content submitted by a first subscriber having a first on-line profile associated with an open, on-line user network site, wherein the first content relates to a second subscriber having a second on-line profile associated with the open, on-line user network site transmitting, by the computer, the first content to the second subscriber receiving, by the computer, a publication instruction from the second subscriber relating to a decision whether to publish the first content via the second on-line profile and calculating, by the computer, a score for the second on-line profile based at least in part on the publication instruction received from the second subscriber. Additional random text unrelated to core claim.",3,3,3,3.0
